id;isbn;name;publish_year;copies;picture
1;surprise than;instead;conc;28829;per woefully
2;unexpectedly ;nor;frei;8581;skyscraper
3;plan suckle;meanwhile;hair;27429;mysterious
4;in-joke bare;shoulder fragrant yuck;fail;20256;dark
5;department up;blah gape quaver;ugh ;11481;if management
6;smog grizzled;favorable afore;or u;26635;gum
7;broadly till;deliberately slope;yet;28296;gee
8;unaccountably;mask transparency;tigh;29294;gah butter
9;median;easily fledgling almighty;elec;20197;wherever
10;acidly;charming alligator;when;29517;laughter vein likewise
